case,freq,mag_db,phase_rad
Hiwatt:noon,31.5,-19.2083084806,0.0623945165442
Hiwatt:noon,63,-20.151084793,-0.274007622
Hiwatt:noon,125,-23.3784881648,-0.504735969227
Hiwatt:noon,250,-28.5658682531,-0.209001536704
Hiwatt:noon,500,-26.8003777414,0.529369492063
Hiwatt:noon,1000,-22.3979309818,0.723912436522
Hiwatt:noon,2000,-18.4376521281,0.705189767956
Hiwatt:noon,4000,-15.3859469187,0.532050590396
Hiwatt:noon,8000,-13.8109289428,0.323626111825
Hiwatt:noon,16000,-13.2412720182,0.173720380516
Hiwatt:bass10,31.5,-13.6263029201,-0.332567586963
Hiwatt:bass10,63,-16.6854195837,-0.738879127724
Hiwatt:bass10,125,-22.2772469544,-0.932555752438
Hiwatt:bass10,250,-29.9177496313,-0.467848681823
Hiwatt:bass10,500,-27.3856768154,0.536381006402
Hiwatt:bass10,1000,-22.4816220715,0.728589606586
Hiwatt:bass10,2000,-18.4512885996,0.706044331666
Hiwatt:bass10,4000,-15.3887097752,0.532169389279
Hiwatt:bass10,8000,-13.8115764774,0.323641381739
Hiwatt:bass10,16000,-13.2414309745,0.173722317794
Hiwatt:bass5mid10,31.5,-19.9813474708,0.0836259553416
Hiwatt:bass5mid10,63,-21.0472031237,-0.221117380126
Hiwatt:bass5mid10,125,-24.4550329536,-0.335605391993
Hiwatt:bass5mid10,250,-26.9144634154,0.195630752153
Hiwatt:bass5mid10,500,-23.2010636768,0.51632245341
Hiwatt:bass5mid10,1000,-20.5306465423,0.520634451707
Hiwatt:bass5mid10,2000,-18.245125845,0.531354042193
Hiwatt:bass5mid10,4000,-15.7124746039,0.468532887058
Hiwatt:bass5mid10,8000,-13.9777277009,0.312011377662
Hiwatt:bass5mid10,16000,-13.2903650882,0.172154599032
Hiwatt:mid0,31.5,-18.3370871816,0.0446235849657
Hiwatt:mid0,63,-19.1071855688,-0.318235394108
Hiwatt:mid0,125,-21.8137292291,-0.643342139132
Hiwatt:mid0,250,-27.0881643823,-0.789537271324
Hiwatt:mid0,500,-35.8037026462,-0.132791467213
Hiwatt:mid0,1000,-27.9487854632,1.11681682588
Hiwatt:mid0,2000,-20.5013643042,1.04573407695
Hiwatt:mid0,4000,-16.0708357477,0.75103487495
Hiwatt:mid0,8000,-13.9765171223,0.44265110874
Hiwatt:mid0,16000,-13.2743834103,0.233519368623
Hiwatt:mid10,31.5,-19.9813474708,0.0836259553416
Hiwatt:mid10,63,-21.0472031237,-0.221117380126
Hiwatt:mid10,125,-24.4550329536,-0.335605391993
Hiwatt:mid10,250,-26.9144634154,0.195630752153
Hiwatt:mid10,500,-23.2010636768,0.51632245341
Hiwatt:mid10,1000,-20.5306465423,0.520634451707
Hiwatt:mid10,2000,-18.245125845,0.531354042193
Hiwatt:mid10,4000,-15.7124746039,0.468532887058
Hiwatt:mid10,8000,-13.9777277009,0.312011377662
Hiwatt:mid10,16000,-13.2903650882,0.172154599032
