taps,beta,cutoff,delay,gain_db,null_lufs,null_rms,null_peak,esr,mae,mse,mrstft
33,6.0,0.5,47.49997836621604,8.179520360863174e-05,-inf,-96.49343464715389,-59.35259693937343,2.2421080361918188e-10,1.3873871304240371e-07,1.3995849641626314e-11,1.3828065736893072e-05
33,6.0,0.6,47.49997836621604,3.510685284274266e-05,-inf,-97.11740215548059,-60.48420060576382,1.9420472158753981e-10,1.3870787584242096e-07,1.212278819378251e-11,1.225791422704174e-05
33,6.0,0.7,47.50002163378396,-1.764027703538887e-05,-inf,-97.74159844350204,-61.71911881326581,1.6820548580595697e-10,1.3824073530675718e-07,1.0499845012979009e-11,1.0887759681068527e-05
33,6.0,0.75,47.50002163378396,-4.098872515415662e-05,-inf,-98.04496395796312,-62.36114325931693,1.568568915157244e-10,1.3818596681897977e-07,9.791434817011425e-12,1.043060706265983e-05
33,6.0,0.8,47.50002163378396,-6.280968519052246e-05,-inf,-98.33779953903449,-62.72623472883191,1.4662905853545934e-10,1.3788115827878102e-07,9.152985597612571e-12,1.0027804498633947e-05
33,6.0,0.85,47.50002163378396,-8.0975559524588e-05,-inf,-98.61635418594584,-63.09311955094465,1.3751959396674467e-10,1.3818501659978357e-07,8.584347983539342e-12,9.625747979935278e-06
33,6.0,0.9,47.50002163378396,-9.528145696678608e-05,-inf,-98.87766628277564,-63.46224274467913,1.2948914751469937e-10,1.378873604550718e-07,8.083065622102135e-12,9.284605522977406e-06
33,6.0,0.95,47.50002163378396,-0.00010366951703394986,-inf,-99.1182516640284,-63.83308400899104,1.2251092913162192e-10,1.3807085010324255e-07,7.647466205484062e-12,8.914677107180905e-06
33,8.0,0.5,47.50002163378396,1.6211671734681775e-05,-inf,-96.2803569426667,-58.919768784601914,2.3548557325010905e-10,1.3755619089743092e-07,1.469965150108734e-11,1.4443055785788748e-05
33,8.0,0.6,47.49997836621604,1.7465574395313878e-05,-inf,-96.8424860932854,-59.80241741747881,2.0689566476395954e-10,1.385399873188254e-07,1.2914991466954304e-11,1.3168730900668339e-05
